Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
73,Charlie Brown Jr.,SG,24,TOT,22,177,.256,.692,.385,.205,.077,.026,.308,.333,.467,.250,.000,.000,.083,brownch02
73,Charlie Brown Jr.,SG,24,DAL,3,15,.200,.400,.200,.000,.200,.000,.600,.500,1.000,,.000,,.000,brownch02
73,Charlie Brown Jr.,SG,24,PHI,19,162,.265,.735,.412,.235,.059,.029,.265,.320,.429,.250,.000,.000,.111,brownch02
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,104,.313,.438,.188,.094,.156,.000,.563,.286,.500,.000,.200,,.333,brownch05
74,Chaundee Brown Jr.,SF,23,LAL,2,21,.143,.571,.286,.143,.143,.000,.429,.250,.500,.000,.000,,.000,brownch05
74,Chaundee Brown Jr.,SG,23,ATL,3,83,.360,.400,.160,.080,.160,.000,.600,.300,.500,.000,.250,,.400,brownch05
75,Greg Brown III,SF,20,POR,48,640,.426,.679,.447,.158,.016,.058,.321,.481,.635,.200,.333,.091,.311,browngr01
76,Jaylen Brown,SF,25,BOS,66,2220,.473,.619,.200,.234,.094,.091,.381,.544,.765,.425,.474,.441,.358,brownja02
77,Moses Brown,C,22,TOT,40,345,.593,1.000,.750,.231,.009,.009,.000,.593,.642,.480,.000,.000,,brownmo01
77,Moses Brown,C,22,DAL,26,169,.540,1.000,.780,.200,.020,.000,.000,.540,.590,.400,.000,,,brownmo01
77,Moses Brown,C,22,CLE,14,176,.638,1.000,.724,.259,.000,.017,.000,.638,.690,.533,,.000,,brownmo01
78,Sterling Brown,SG,26,DAL,49,628,.381,.406,.206,.116,.039,.045,.594,.492,.625,.278,.333,.571,.304,brownst02
79,Troy Brown Jr.,SF,22,CHI,66,1055,.419,.484,.283,.132,.027,.043,.516,.488,.562,.412,.143,.455,.353,browntr01
80,Jalen Brunson,SG,25,DAL,79,2524,.502,.750,.147,.288,.189,.126,.250,.545,.703,.524,.518,.449,.373,brunsja01
81,Thomas Bryant,C,24,WAS,27,439,.520,.716,.385,.169,.034,.128,.284,.613,.754,.480,.200,.474,.286,bryanth01
82,Shaq Buchanan,SG,25,MEM,2,10,.250,.500,.500,.000,.000,.000,.500,.500,.500,,,,.000,buchash01
83,Reggie Bullock,SF,30,DAL,68,1902,.401,.218,.096,.048,.032,.042,.782,.550,.688,.292,.688,.429,.360,bullore01
84,Trey Burke,PG,29,DAL,42,441,.391,.619,.098,.163,.126,.233,.381,.436,.714,.429,.444,.320,.317,burketr01
85,Alec Burks,SG,30,NYK,81,2318,.391,.466,.124,.165,.111,.066,.534,.378,.444,.342,.358,.375,.404,burksal01
86,Jared Butler,SG,21,UTA,42,360,.404,.417,.066,.232,.066,.053,.583,.524,.600,.429,.600,.750,.318,butleja02
87,Jimmy Butler,SF,32,MIA,57,1931,.480,.860,.306,.291,.195,.068,.140,.520,.701,.415,.457,.339,.233,butleji01
88,Devontae Cacok,PF,25,SAS,15,121,.677,1.000,.387,.484,.129,.000,.000,.677,.833,.533,.750,,,cacokde01
89,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,.435,.508,.105,.117,.112,.175,.492,.480,.678,.361,.430,.469,.390,caldwke01
90,Facundo Campazzo,PG,30,DEN,65,1184,.361,.348,.149,.142,.041,.017,.652,.476,.614,.381,.250,.600,.301,campafa01
91,Vlatko cancar,PF,24,DEN,15,176,.561,.707,.390,.195,.098,.024,.293,.552,.750,.375,.250,.000,.583,cancavl01
92,Devin Cannady,PG,25,ORL,5,145,.341,.159,.045,.045,.045,.023,.841,.000,.000,.000,.000,.000,.405,cannade01
93,Clint Capela,C,27,ATL,74,2042,.613,.998,.765,.225,.007,.002,.002,.614,.684,.382,.500,.000,.000,capelca01
94,Vernon Carey Jr.,C,20,TOT,7,44,.538,1.000,.615,.000,.077,.308,.000,.538,.750,,.000,.250,,careyve01
94,Vernon Carey Jr.,C,20,CHO,4,17,.500,1.000,.667,.000,.000,.333,.000,.500,.750,,,.000,,careyve01
94,Vernon Carey Jr.,C,20,WAS,3,27,.571,1.000,.571,.000,.143,.286,.000,.571,.750,,.000,.500,,careyve01
95,Jevon Carter,PG,26,TOT,66,905,.387,.328,.055,.043,.067,.162,.672,.386,.429,.273,.471,.366,.388,carteje01
95,Jevon Carter,PG,26,BRK,46,552,.333,.270,.040,.023,.057,.149,.730,.340,.143,.250,.400,.385,.331,carteje01
95,Jevon Carter,PG,26,MIL,20,353,.506,.456,.089,.089,.089,.190,.544,.444,.714,.286,.571,.333,.558,carteje01
96,Wendell Carter Jr.,PF,22,ORL,62,1852,.525,.687,.327,.202,.101,.057,.313,.615,.781,.457,.478,.462,.327,cartewe01
97,Alex Caruso,SG,27,CHI,41,1147,.398,.508,.258,.145,.043,.063,.492,.462,.591,.324,.364,.313,.333,carusal01
98,Willie Cauley-Stein,C,28,TOT,20,183,.457,.943,.629,.200,.057,.057,.057,.455,.545,.143,1.000,.000,.500,caulewi01
98,Willie Cauley-Stein,C,28,DAL,18,177,.457,.943,.629,.200,.057,.057,.057,.455,.545,.143,1.000,.000,.500,caulewi01
98,Willie Cauley-Stein,C,28,PHI,2,6,,,,,,,,,,,,,,caulewi01
99,Ahmad Caver,SG,25,IND,1,1,1.000,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,caverah01
100,Justin Champagnie,SF,20,TOR,36,281,.463,.582,.358,.209,.015,.000,.418,.538,.625,.429,.000,,.357,champju01
101,Zylan Cheatham,SF,26,UTA,1,5,.000,.333,.333,.000,.000,.000,.667,.000,.000,,,,.000,cheatzy01
102,Chris Chiozza,PG,26,GSW,34,372,.296,.346,.111,.136,.049,.049,.654,.250,.222,.273,.000,.500,.321,chiozch01
103,Marquese Chriss,PF,24,DAL,34,346,.463,.813,.530,.254,.015,.015,.187,.495,.592,.265,1.000,.500,.320,chrisma01
104,Josh Christopher,SG,20,HOU,74,1334,.448,.622,.300,.188,.114,.020,.378,.540,.647,.532,.333,.200,.296,chrisjo01
105,Gary Clark,PF,27,NOP,38,378,.375,.205,.091,.102,.011,.000,.795,.278,.125,.444,.000,,.400,clarkga01
106,Brandon Clarke,PF,25,MEM,64,1246,.644,.951,.508,.311,.116,.016,.049,.666,.775,.568,.462,.571,.227,clarkbr01
107,Jordan Clarkson,SG,29,UTA,79,2141,.419,.464,.099,.272,.075,.018,.536,.535,.627,.515,.554,.250,.318,clarkjo01
108,Nic Claxton,C,22,BRK,47,974,.674,1.000,.697,.284,.019,.000,.000,.674,.815,.347,.400,,,claxtni01
109,Amir Coffey,SG,24,LAC,69,1567,.453,.455,.165,.167,.077,.045,.545,.542,.779,.449,.417,.238,.378,coffeam01
110,John Collins,PF,24,ATL,54,1663,.526,.727,.334,.211,.127,.054,.273,.588,.753,.463,.439,.400,.364,collijo01
111,Zach Collins,C,24,SAS,28,502,.490,.735,.290,.316,.065,.065,.265,.544,.756,.347,.500,.600,.341,colliza01
112,Darren Collison,PG,34,LAL,3,37,.286,.571,.286,.000,.000,.286,.429,.500,1.000,,,.000,.000,collida01
113,Mike Conley,PG,34,UTA,72,2058,.435,.477,.075,.268,.109,.025,.523,.464,.559,.453,.442,.400,.408,conlemi01
114,Pat Connaughton,SF,29,MIL,65,1691,.458,.254,.161,.065,.022,.006,.746,.643,.725,.500,.636,.000,.395,connapa01
115,Tyler Cook,PF,24,CHI,20,200,.605,1.000,.684,.316,.000,.000,.000,.605,.692,.417,,,,cookty01
116,Sharife Cooper,PG,20,ATL,13,39,.214,.571,.500,.071,.000,.000,.429,.250,.143,1.000,,,.167,coopesh01
117,Petr Cornelie,PF,26,DEN,13,38,.333,.467,.333,.067,.000,.067,.533,.571,.600,1.000,,.000,.125,cornepe01
118,DeMarcus Cousins,C,31,TOT,48,718,.460,.623,.361,.225,.015,.022,.377,.554,.650,.452,.200,.286,.303,couside01
118,DeMarcus Cousins,C,31,MIL,17,287,.466,.593,.390,.186,.008,.008,.407,.600,.674,.500,.000,.000,.271,couside01
118,DeMarcus Cousins,C,31,DEN,31,431,.456,.641,.345,.248,.019,.029,.359,.530,.634,.431,.250,.333,.324,couside01
119,Robert Covington,PF,31,TOT,71,1940,.420,.319,.171,.108,.022,.018,.681,.509,.659,.333,.273,.444,.378,covinro01
119,Robert Covington,PF,31,POR,48,1431,.381,.315,.164,.110,.021,.021,.685,.462,.600,.324,.286,.286,.343,covinro01
119,Robert Covington,PF,31,LAC,23,509,.500,.327,.185,.105,.025,.012,.673,.604,.767,.353,.250,1.000,.450,covinro01
120,Torrey Craig,SF,31,TOT,78,1596,.454,.469,.231,.141,.057,.041,.531,.594,.725,.532,.400,.333,.329,craigto01
120,Torrey Craig,SF,31,IND,51,1034,.456,.509,.260,.135,.057,.057,.491,.573,.712,.500,.375,.313,.333,craigto01
120,Torrey Craig,SF,31,PHO,27,562,.450,.400,.181,.150,.056,.013,.600,.641,.759,.583,.444,.500,.323,craigto01
121,Jae Crowder,PF,31,PHO,67,1886,.399,.329,.059,.094,.079,.097,.671,.503,.656,.431,.488,.491,.348,crowdja01
122,Jarrett Culver,SG,22,MEM,37,338,.378,.652,.259,.193,.081,.119,.348,.443,.543,.346,.364,.438,.255,culveja01
123,Jarron Cumberland,SG,24,POR,3,12,.500,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,.000,cumbeja01
124,Cade Cunningham,SG,20,DET,64,2088,.416,.648,.214,.249,.113,.072,.352,.472,.588,.432,.431,.324,.314,cunnica01
125,Seth Curry,SG,31,TOT,64,2135,.487,.494,.053,.100,.133,.208,.506,.553,.692,.568,.510,.539,.422,curryse01
125,Seth Curry,SG,31,PHI,45,1566,.485,.527,.055,.110,.138,.223,.473,.561,.690,.552,.548,.542,.400,curryse01
125,Seth Curry,SG,31,BRK,19,569,.493,.412,.047,.076,.118,.171,.588,.529,.700,.625,.400,.528,.468,curryse01
126,Stephen Curry,PG,33,GSW,64,2211,.437,.387,.120,.134,.062,.071,.613,.527,.599,.530,.513,.414,.380,curryst01
127,Anthony Davis,C,28,LAL,40,1404,.532,.899,.376,.193,.150,.181,.101,.571,.793,.485,.317,.413,.186,davisan02
128,Ed Davis,C,32,CLE,31,201,.688,1.000,.750,.250,.000,.000,.000,.688,.750,.500,,,,davised01
